,campus_id,campus_name,dept,difficulty,name,quality,rating_count,retake,tag_accessibleoutsideclass,tag_amazinglectures,tag_bewareofpopquizzes,tag_caring,tag_cleargradingcriteria,tag_extracredit,tag_getreadytoread,tag_givesgoodfeedback,tag_gradedbyfewthings,tag_groupprojects,tag_hilarious,tag_inspirational,tag_lectureheavy,tag_lotsofhomework,tag_participationmatters,tag_respected,tag_skipclassyouwon'tpass,tag_somanypapers,tag_testheavy,tag_toughgrader
61,3,Academy of Art University,Fine Arts,3.7,David Choong Lee,3.9,38,N/A,,,,1,2,,,2,,,,1,,,2,,,,,1
62,3,Academy of Art University,Fine Arts,3.9,Earl Enriquez,4.0,37,N/A,,,,,,,,3,,,1,1,,,,,,,,3
63,3,Academy of Art University,Humanities,2.3,John Dobson,4.7,36,N/A,,1,,,,,,,,,1,1,,,,,,,,
64,3,Academy of Art University,Fine Arts,3.6,Chris Canga,4.1,36,N/A,,2,,3,,,,5,,,,2,2,4,,,,,,
65,3,Academy of Art University,Liberal Arts & Sciences,2.2,Tom Marcoux,4.7,36,N/A,1,3,,1,1,,,2,,2,1,5,,,,,1,,,
66,3,Academy of Art University,Computer Science,2.4,Dan Eriksson,3.0,34,N/A,,,,,1,1,,1,,,,,,,,,,,,
67,3,Academy of Art University,Graphic Design,4.1,Carolina De Bartolo,3.5,34,N/A,,,2,,,,1,1,,,,1,,,,1,1,,,1
68,3,Academy of Art University,Fine Arts,3.7,Henry Yan,3.8,33,N/A,,,,,,,,3,,,,,,,,1,,,,2
69,3,Academy of Art University,Illustration,3.6,Craig Marshall,3.2,32,N/A,,3,,2,,,,3,,,,1,,,,,,,,1
70,3,Academy of Art University,Animation,2.9,Shaun Featherstone,4.0,31,N/A,,1,1,,,,,,1,,,,2,,1,,,,1,1
71,3,Academy of Art University,Fine Arts,3.2,Adam Caldwell,4.3,30,100%,,,,3,1,,,6,,,2,,,3,,3,,,,3
72,3,Academy of Art University,Graphic Design,3.8,Amaila Broadbent,4.1,29,N/A,,,,,,,,,,,,,,,,,,,,
73,3,Academy of Art University,Graphic Design,3.4,Scott Rankin,3.8,28,100%,,,,,,2,,6,,1,,2,,1,2,1,3,,,1
74,3,Academy of Art University,Graphic Design,3.4,David Hake,2.9,28,38%,,,,,,,,3,,,1,2,,,1,1,,,,3
75,3,Academy of Art University,Advertising,3.6,Roger Muller,4.4,27,N/A,,,,,,,,1,,,,1,1,1,2,1,,1,,3
76,3,Academy of Art University,Graphic Design,3.6,Jon Dalton,3.9,27,N/A,1,,,,1,,,4,,,1,2,,,1,1,2,,,2
77,3,Academy of Art University,Fine Arts,2.9,Mitch Gibson,4.9,26,N/A,,,,1,,,,1,,,,2,,,,,,,,2
78,4,Bryn Athyn College,English,3.7,Suzanne Bernhardt,2.6,16,N/A,,,,,,1,1,,,,,,,,,,,1,,
79,4,Bryn Athyn College,Theology,3.1,Ray Silverman,4.3,10,N/A,,,,,,,,1,,,1,2,,,,1,,,,
80,4,Bryn Athyn College,Psychology,1.9,Sonia Werner,4.0,9,N/A,,,,,,,,1,,,,1,,,,1,,,,
81,4,Bryn Athyn College,Art History,3.4,Martha Gyllenhaal,3.8,8,N/A,,,,,,,,,,,,,,,,,,,,
82,4,Bryn Athyn College,Biology,2.4,Fredrik Bryntesson,4.3,8,N/A,,1,,,1,,1,2,,,2,,,,,1,,,,
83,4,Bryn Athyn College,English,2.9,Thane Glenn,4.5,7,N/A,,,,,,,,1,,,,1,,,1,,,,,
84,4,Bryn Athyn College,English,4.0,Kristin King,4.8,6,N/A,,,,,,,,1,,,,,,,,1,,,,1
85,4,Bryn Athyn College,Mathematics,2.5,Neil Simonetti,4.7,6,N/A,,,,,,,,,,,,,,,,,,,,
86,4,Bryn Athyn College,Political Science,3.5,Greg Rose,4.8,6,N/A,,1,,1,,,,1,,,,,,,1,1,,,,1
87,4,Bryn Athyn College,Mathematics,3.2,Caira Bongers,2.9,5,N/A,,,,,,,,,,,,,,2,,,2,,,2
88,4,Bryn Athyn College,Biology,3.5,Sherri Cooper,3.8,4,N/A,,,,,,,,,,,,,,,,,,,,
89,4,Bryn Athyn College,Not Specified,3.0,Sean Lawing,4.5,4,N/A,,,,,,,1,,,,,,,,,,,,,1
90,4,Bryn Athyn College,Physics,5.0,Max Blair,1.5,3,N/A,,,,,,,,,,,,,,,,,,,,1
91,4,Bryn Athyn College,Education,4.0,Nina Phillips,3.3,2,N/A,,,,,,,,,,,,,,,,,,,,
92,4,Bryn Athyn College,English,3.5,Robin Cooper,4.5,2,N/A,,,,,,,1,,,,,,,1,,,,,,
93,4,Bryn Athyn College,Religion,4.0,Scott Frazier,4.5,1,N/A,,,,,,,,,,,,,,,,,,,,
94,4,Bryn Athyn College,English,3.0,Michael Seigafuse,5.0,1,N/A,,,,,,,,,,,,,,,,,,,,
95,4,Bryn Athyn College,Psychology,4.0,Erica Hyatt,5.0,1,N/A,,,,,,,,,,,,,,,,,,,,
96,4,Bryn Athyn College,Chemistry,2.0,Edward Higgins,4.5,1,N/A,,,,,,,,,,,,,,,,,,,,
97,5,Adams State University,Psychology,3.0,Jeff Carew,4.9,21,100%,8,7,,13,3,5,,6,,,5,6,2,,,7,1,,,
98,5,Adams State University,Business,2.1,Linda Reid,4.1,16,N/A,,,,,,,,,,,,,,,,,,,,
99,5,Adams State University,Sociology,3.0,Eva Brown,4.6,14,N/A,,,,,,,,,,,,,,,,,,,,
100,5,Adams State University,History,2.9,Stuart Hilwig,4.0,13,N/A,,,,,,,,,,,,,,,,,,,,
101,5,Adams State University,History,3.2,Ed Crowther,4.3,13,N/A,,,,,,,1,1,,,,,,,,,,,,
102,5,Adams State University,Theater,1.8,John Taylor,4.9,13,N/A,,1,,,,1,,,,,,,,,2,1,1,,,
103,5,Adams State University,English,3.0,Aaron Abeyta,3.5,12,N/A,,,,,,,,,,,,,,,,,,,,
104,5,Adams State University,English,2.9,Richard Baker,4.4,11,N/A,,,,,,,,,,,,,,,,,,,,
105,5,Adams State University,Counselor Education,2.8,Joel Givens,5.0,11,100%,,3,,1,3,,,6,,,1,5,,,2,1,,,,
106,5,Adams State University,Mathematics,2.8,Matt Ikle,3.6,10,N/A,,,,1,,,,,,,,,,,,1,,,,
107,5,Adams State University,Sociology,2.9,Ted McNeilsmith,4.1,10,N/A,,,,,,,,,,,,,,,,,,,,
108,5,Adams State University,English,2.9,David Mazel,4.5,10,N/A,,,,,,,,1,,,,1,,,,1,,,,
109,5,Adams State University,Philosophy,2.8,George Backen,4.3,10,N/A,,,,,,,1,,,,1,,,1,,,,,,
110,5,Adams State University,Physics,2.6,Jessica. Hernández Guzmán,3.8,9,86%,,,,5,,,,6,,,,6,,,1,,,,,
111,5,Adams State University,Counselor Education,3.6,Virginia Svaldi,3.7,9,N/A,1,1,,,,,3,2,,,,,,3,1,,,1,,4
112,5,Adams State University,Theater,3.4,Paul Newman,3.9,8,N/A,,,,,,,,,,,,,,,,,,,,
113,5,Adams State University,Computer Science,2.4,George Sellman,4.4,7,N/A,,,,1,,,,,,,,1,,,,,,,,
114,5,Adams State University,Mathematics,4.6,Tony Weathers,3.5,7,N/A,,,,,,,,,,,,,,,,,,,,1
115,5,Adams State University,Geology,3.7,Robert Benson,3.8,6,N/A,1,,,,,,1,,,,,,,,,,,,,
116,5,Adams State University,English,2.3,Koos Daley,4.4,6,N/A,,,,,,,,,,,,,,,,,,,,
117,6,Adelphi University,Nutrition & Exercise Sci,2.3,Tracy Stopler,4.9,166,99%,33,30,,79,25,73,2,74,4,,8,63,2,1,7,57,4,,1,1
118,6,Adelphi University,Education,2.0,Dennis Cowan,4.9,96,100%,4,1,,10,5,,,9,,3,1,3,,,3,7,1,,,
119,6,Adelphi University,Chemistry,4.2,Stephen Goldberg,2.2,94,19%,1,,,1,2,5,2,,,,,,10,10,2,,2,,8,17
120,6,Adelphi University,Biology,2.4,Benjamin Weeks,4.5,88,93%,3,2,,4,4,,,3,3,,11,4,2,,1,6,1,,,1
121,6,Adelphi University,Social Science,2.0,Sal Primeggia,4.8,85,82%,,3,,3,,,1,1,,1,7,6,,,4,10,1,,,
122,6,Adelphi University,History,2.6,M. Cristina Zaccarini,4.4,78,71%,3,,,3,,,3,2,,,,1,1,1,3,,1,,,2
123,6,Adelphi University,Chemistry,4.0,David Parkin,2.6,78,59%,6,1,,6,3,4,4,3,,3,1,,1,1,2,3,8,1,,5
124,6,Adelphi University,Economics,2.2,David MacHlis,4.8,64,93%,3,13,,8,,5,1,3,4,,,7,,,4,7,2,,2,
125,6,Adelphi University,English,3.3,Marc Prinz,3.5,63,25%,,,,1,1,,,,4,,6,,,1,3,1,,1,,16
126,6,Adelphi University,Psychology,2.6,Betti Stanco,4.5,61,100%,3,1,,10,20,4,3,18,,,,1,5,5,,11,,2,1,
127,6,Adelphi University,Mathematics,4.3,Salvatore Petrilli,3.2,61,40%,,1,3,2,1,,,1,,,,,1,13,3,2,4,,4,18
128,6,Adelphi University,Mathematics,1.7,Diane Quirin,4.7,59,100%,1,3,,13,12,,,5,4,,1,1,1,,,7,2,,,1
129,6,Adelphi University,Psychology,2.3,Deborah Serani,4.9,59,100%,2,16,,18,1,,,4,,,3,17,,,1,5,,,,1
130,6,Adelphi University,Biology,4.0,James Dooley,1.8,59,25%,,1,11,,,1,10,1,3,,1,,5,1,,1,6,,4,12
131,6,Adelphi University,History,3.3,Abdin Chande,2.6,57,28%,,1,,,1,,11,1,1,,,,2,6,6,,6,1,3,11
132,6,Adelphi University,Biological Sciences,1.9,John Perrotto,4.9,57,100%,,8,,7,5,,,,1,,5,1,,,,9,,,,
133,6,Adelphi University,Fine Arts,2.7,Nik Davidopoulos,4.6,56,N/A,,,,,,,,,,,,,,,,,,,,
134,6,Adelphi University,History,3.5,Michael Lacombe,3.2,52,67%,1,,,,1,,10,2,1,,2,,1,3,6,,1,3,,5
135,6,Adelphi University,Philosophy,4.2,Shawn Kaplan,2.6,52,33%,1,,,,,,6,1,1,,,1,5,2,1,,2,8,,10
136,6,Adelphi University,Psychology,3.7,Sue Austin,2.7,51,N/A,,,,,,,,,,,,,,,,,,,,
137,7,Agnes Scott College,Political Science,3.8,Cathy Scott,3.9,40,N/A,1,,,,,,3,1,,1,2,,,,3,,,,,1
138,7,Agnes Scott College,English,3.8,Steven Guthrie,3.6,38,N/A,,,,,,,1,2,,,,1,,,,,,,,1
139,7,Agnes Scott College,Biology,3.9,Tim Finco,3.3,33,N/A,,1,,,,,1,1,,,2,,,1,1,,1,,,1
140,7,Agnes Scott College,English,3.1,Brian Artese,3.0,31,N/A,,,,,,,,,,,,,,,,,,,,
141,7,Agnes Scott College,Psychology,3.9,Barbara Blatchley,3.1,30,17%,,,,,,,3,,1,,,,5,1,,,3,,2,3
142,7,Agnes Scott College,Humanities,3.6,Beth Hackett,4.3,29,N/A,,1,,1,,,1,,,,,1,,,,,,,,2
143,7,Agnes Scott College,English,2.8,Charlotte Artese,4.6,29,N/A,,,,,,,,,,,,,,,,,,,,
144,7,Agnes Scott College,Fine Arts,3.1,Donna Sadler,3.6,27,N/A,,,,,,,,,,,,,,,,,,,,
145,7,Agnes Scott College,Philosophy,3.3,Lara Denis,3.5,27,N/A,,1,,,,1,4,1,,,,,1,1,,,1,,,3
146,7,Agnes Scott College,English,3.7,Christine Cozzens,4.4,26,N/A,1,,,1,,,,2,,,,,,,1,1,,,,
147,7,Agnes Scott College,Languages,3.7,Michael Schlig,3.0,26,N/A,,,,,,,,1,,,3,,,,2,,1,,,1
148,7,Agnes Scott College,Political Science,3.0,Gus Cochran,4.1,25,N/A,1,,,,,,1,,,,1,,,,,,,,,
149,7,Agnes Scott College,Mathematics,3.0,Alan Koch,4.3,25,100%,4,2,,3,,,,1,1,,4,1,1,,,1,,,,
150,7,Agnes Scott College,English,2.8,Willie Tolliver,3.8,24,N/A,,1,,,,,2,,,1,,1,2,,,2,,1,,1
151,7,Agnes Scott College,Mathematics,3.8,Myrtle Lewin,3.3,24,N/A,,,,,,,,,,,,,,,,,,,,
152,7,Agnes Scott College,Religion,2.8,Dennis McCann,2.6,24,N/A,,,,,,,,,,,,,,,,,,,,
153,7,Agnes Scott College,Mathematics,3.3,Jim Wiseman,3.8,23,N/A,,,,1,,1,,,,,1,,,1,,1,1,,,
154,7,Agnes Scott College,English,3.7,Rachel Trousdale,4.3,22,N/A,,,,,,,,,,,,,,,,,,,,
155,7,Agnes Scott College,Theater,3.8,Dudley Sanders,3.4,21,N/A,,,,,3,,3,3,1,,,,,1,1,,,,,3
156,7,Agnes Scott College,Physics,3.3,Christopher De Pree,3.4,21,N/A,,1,1,,1,,,2,,,,1,,1,,2,,,,
157,8,Air Force Institute of Technology,Engineering,4.0,James Lott,4.8,14,N/A,,,,,,,,,,,,,,,,,,,,
158,8,Air Force Institute of Technology,Engineering,4.7,Shane Hall,4.5,3,N/A,,,,,,,,,,,,,,,,,,,,
159,8,Air Force Institute of Technology,Engineering,2.5,Michael A Temple,3.3,2,N/A,,,,1,,,,,,,,,,1,,1,,,,
160,8,Air Force Institute of Technology,Information Science,1.0,Summer Bartczack,5.0,1,N/A,,,,,,,,,,,,,,,,,,,,
161,8,Air Force Institute of Technology,Engineering,1.0,Bradley Liebst,3.5,1,N/A,,,,,,,,,,,,,,,,,,,,
162,8,Air Force Institute of Technology,Engineering,4.0,James Chrissis,1.0,1,N/A,,,,,,,,,,,,,,,,,,,,
163,8,Air Force Institute of Technology,Mathematics,4.0,Aihua W Wood,1.5,1,N/A,,,,,,,,,,,,,,,,,,,,
164,8,Air Force Institute of Technology,Engineering,3.0,John Colombi,4.0,1,N/A,1,,,1,,,,1,,,,,,,,,,,,
165,8,Air Force Institute of Technology,Mathematics,4.0,Ryan Kappedal,1.0,1,N/A,,,,,,,1,,,,,,,1,,,,,,
166,8,Air Force Institute of Technology,Mathematics,4.0,Tony White,5.0,1,N/A,,,,,,,,1,,,,,,,1,,1,,,
167,8,Air Force Institute of Technology,Management,4.0,Daniel Steeneck,2.0,1,N/A,1,,,1,,,,,,1,,,,,,,,,,
168,9,Air University,Military Science,2.0,Greg Power,4.3,2,N/A,,,,,,,,,,,,,,,,,,,,
169,9,Air University,Military Science,4.0,Mike Mosier,4.0,1,N/A,,,,,,,,,,,,,,,,,,,,
170,10,Alabama A&M; University,History,3.5,Stephanie Allen,4.4,21,N/A,,1,1,,2,,5,,,,,,1,1,,1,2,,,1
171,10,Alabama A&M; University,Physics,1.3,Padmaja Guggilla,4.7,19,N/A,2,1,,1,,,,2,,,,1,,,,1,,,1,
172,10,Alabama A&M; University,History,2.8,Michael Vaughn,3.5,16,N/A,,,1,1,1,1,1,,1,,1,,2,,1,,2,,,1
173,10,Alabama A&M; University,Biology,1.7,Sampson Hopkinson,4.8,15,100%,1,4,,6,,2,,2,,,2,1,1,,,3,1,,2,1
174,10,Alabama A&M; University,Economics,3.0,Marvin Adcock,4.1,13,N/A,,,,,,,,,,,,,,,,,,,,
175,10,Alabama A&M; University,Business,3.2,Chris Enyinda,2.9,12,N/A,,,,,,,,,,,,,,,,,,,,3
176,10,Alabama A&M; University,Psychology,1.6,Karen Etheridge,5.0,11,N/A,1,,,,,,,1,,,,,,,1,,1,,,1
177,10,Alabama A&M; University,Accounting,3.1,Bonnie Banks,3.3,11,N/A,,,,,,1,,,,,,,,,,1,,,,
178,10,Alabama A&M; University,English,2.7,Johnnie Hargrove,4.6,9,N/A,,,,1,1,,2,3,,,,,,,1,1,,1,,2
179,10,Alabama A&M; University,Marketing,3.9,Dana Harris,4.3,9,N/A,,,,,1,,,,,,,1,,,,1,,,,
180,10,Alabama A&M; University,Mathematics,2.6,J. Ezeibe,3.8,9,N/A,1,,,,,1,,1,,,,,,,,,,,,
181,10,Alabama A&M; University,Education,2.7,Ruby Jewel,3.5,9,N/A,,1,,,,,,,,,,,,,,,,,,
182,10,Alabama A&M; University,Business,3.5,Qian Shen,2.1,8,N/A,,,,,,,,,,,,,1,1,,,,,,
183,10,Alabama A&M; University,Mathematics,1.5,Stephanie Johnson,4.9,8,N/A,,,,2,,,,,,,,,,,,2,,,,
184,10,Alabama A&M; University,English,1.1,Simon Ndombele,5.0,8,N/A,1,,,2,1,,,,,,1,,,,,,1,,,
185,10,Alabama A&M; University,English,2.6,Cheryl Carpenter,4.9,8,N/A,,,,1,,,1,2,,,,,,,1,,,,,1
186,10,Alabama A&M; University,History,3.9,Craig Patton,4.0,8,N/A,,1,,,,,2,,,,,1,,,,,1,,,
187,10,Alabama A&M; University,Education,1.9,William Gile,4.9,7,N/A,,,,,,,,,,,,,,,,,,,,
188,10,Alabama A&M; University,Education,1.6,Sha Li,3.3,7,N/A,,,,,,,,,,,,,,,,,,,,
189,10,Alabama A&M; University,English,3.3,Gasini Basaninyenzi,4.5,7,N/A,1,,,1,,,4,2,,,2,,,,1,,1,,1,
190,11,Alabama State University,English,2.4,Lamya Almas,4.7,207,95%,14,13,6,42,37,10,42,101,1,5,5,10,1,14,44,40,12,8,3,16
191,11,Alabama State University,Orientation,2.0,Sondra Sutton-Obas,4.8,134,99%,11,17,2,47,21,42,32,40,3,1,5,42,,2,37,72,10,,,1
